         x            rho             ux             p
-4.39500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.38500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.37500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.36500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.35500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.34500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.33500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.32500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.31500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.30500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.29500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.28500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.27500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.26500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.25500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.24500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.23500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.22500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.21500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.20500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.19500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.18500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.17500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.16500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.15500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.14500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.13500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.12500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.11500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.10500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.09500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.08500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.07500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.06500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.05500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.04500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.03500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.02500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.01500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.00500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-3.99500E-01    7.99250E+00    9.37500E-03    4.79250E+02
-3.98500E-01    7.97752E+00    2.81250E-02    4.77754E+02
-3.97500E-01    7.96256E+00    4.68750E-02    4.76262E+02
-3.96500E-01    7.94761E+00    6.56250E-02    4.74773E+02
-3.95500E-01    7.93269E+00    8.43750E-02    4.73288E+02
-3.94500E-01    7.91778E+00    1.03125E-01    4.71807E+02
-3.93500E-01    7.90290E+00    1.21875E-01    4.70329E+02
-3.92500E-01    7.88803E+00    1.40625E-01    4.68855E+02
-3.91500E-01    7.87318E+00    1.59375E-01    4.67385E+02
-3.90500E-01    7.85834E+00    1.78125E-01    4.65918E+02
-3.89500E-01    7.84353E+00    1.96875E-01    4.64455E+02
